ID,Recipe


ID_Start, 💫 => ✅1️⃣ ☀1️⃣ ⏹1296 🔰 🪓 ⛏ ♠ 🚿 🎣 🔨
ID_Grass_Regrow, 🟨 🌞 => 🟩
ID_Hole_Refill, 🕳 🌞 => 🟨
ID_Hole_Refill_Wet, 🟧🕳 🌞 => 🟧

ID_Grid_Spawn,⏹ => 🟩%24.5 🟦%5 🌳%10 🌳🍎%10 🌳🍊%10 🍀%5 🍀🍇%5 🍀🍎%5 🍀🍊%5 ⛰️%2 ⛰️⛰️%2 ⛰️🖤%2 ⛰️🥉%2 ⛰️🥈%2 ⛰️🥇%1 🗻%2 🗻🖤%2 🗻🥉%2 🗻🥈%2 🗻🥇%0.5
ID_Fish_Tick,🎣🎯 => 🐟%10 🐠%8 🐡%6 🦀%4 🦐%2 🦈%1

ID_Monday,💧X ❎X 💳X ☀1️⃣ 🛒X => ☀2️⃣ 🌞 💧225 🛒
ID_Tuesday,💧X ❎X 💳X ☀2️⃣ 🛒X => ☀3️⃣ ⭐🎲 🌞 💧225 🛒
ID_Wednesday,💧X ❎X 💳X ☀3️⃣ 🛒X => ☀4️⃣ 🌞 💧225 🛒
ID_Thursday,💧X ❎X 💳X ☀4️⃣ 🛒X => ☀5️⃣ 🌞 💧225 🛒
ID_Friday,💧X ❎X 💳X ☀5️⃣ 🛒X => ☀6️⃣ 🌞 💧225 🛒
ID_Saturday,💧X ❎X 💳X ☀6️⃣ ✅ 🛒X => ☀7️⃣ 🌞 💧225 🛒
ID_Sunday,💧X ❎X 💳X ☀7️⃣ 🛒X => ☀1️⃣ 📅 🌞 💧225 🛒

ID_Rent1, ✅1️⃣ 💰1000 => ✅ ✅2️⃣ 
ID_Rent2, ✅2️⃣ 💰2500 => ✅ ✅3️⃣
ID_Rent3, ✅3️⃣ 💰5000 => ✅ ✅4️⃣
ID_Rent4, ✅4️⃣ 💰10000 => ✅ ✅5️⃣
ID_Rent5, ✅5️⃣ 💰20000 => ✅ ✅6️⃣
ID_Rent6, ✅6️⃣ 💰40000 => ✅ ✅7️⃣
ID_Rent7, ✅7️⃣ 💰80000 => ✅ ✅8️⃣
ID_Rent8, ✅8️⃣ 💰160000 => ✅ ✅9️⃣
ID_Rent9, ✅9️⃣ 💰320000 => ✅ ✅🔟
ID_Rent10, ✅🔟 💰640000 => ✅ ✅🔟1️⃣
ID_Rent11, ✅🔟1️⃣ 💰1280000 => ✅ ✅🔟2️⃣
ID_Rent12, ✅🔟2️⃣ 💰2560000 => ✅ ✅🔟3️⃣
ID_Rent13, ✅🔟3️⃣ 💰5120000 => ✅ ✅🔟4️⃣
ID_Rent14, ✅🔟4️⃣ 💰10240000 => ✅ ✅🔟5️⃣
ID_Rent15, ✅🔟5️⃣ 💰20480000 => ✅ ✅🔟6️⃣


ID_Shop_Stock, 🛒 => 💳8-80

ID_Chop_Axe,🪓 💧4 => 🪓 🪓🎯
ID_Chop_Axe_Copper,🪓🥉 💧3 => 🪓🥉 🪓🎯
ID_Chop_Axe_Iron,🪓🥈 💧2 => 🪓🥈 🪓🎯
ID_Chop_Axe_Gold,🪓🥇 💧 => 🪓🥇 🪓🎯
