Pass,Survival,SurvivalPct,Crown,MaxScore,Loss,BestSurvival
1,1014°179.8 ðŸ‘‘1.0,,,2889.000°179.8 ðŸ‘‘1.0,1.5291,30.3
2,1053°173.6 ðŸ‘‘1.0,,,3281.000°173.6 ðŸ‘‘1.0,1.5154,30.3
3,1115°192.7 ðŸ‘‘1.0,,,2952.000°192.7 ðŸ‘‘1.0,1.6076,30.3
4,827°148.3 ðŸ‘‘1.0,,,2867.000°148.3 ðŸ‘‘1.0,1.6014,30.3
5,958°179.8 ðŸ‘‘1.0,,,3495.000°179.8 ðŸ‘‘1.0,1.4564,30.3
6,1087°218.9 ðŸ‘‘1.0,,,2975.000°218.9 ðŸ‘‘1.0,1.4755,30.3
7,1235°236.0 ðŸ‘‘1.0,,,2919.000°236.0 ðŸ‘‘1.0,1.4218,30.3
8,1383°259.1 ðŸ‘‘1.0,,,2930.000°259.1 ðŸ‘‘1.0,1.4238,30.3
9,1746°325.7 ðŸ‘‘1.0,,,3095.000°325.7 ðŸ‘‘1.0,1.3917,30.3
10,1638°286.1 ðŸ‘‘1.0,,,3119.000°286.1 ðŸ‘‘1.0,1.4102,30.3
11,1600°291.5 ðŸ‘‘1.0,,,2887.000°291.5 ðŸ‘‘1.0,1.4649,30.3
12,1521°296.6 ðŸ‘‘1.0,,,3222.000°296.6 ðŸ‘‘1.0,1.4268,30.3
13,1755°314.6 ðŸ‘‘1.0,,,3187.000°314.6 ðŸ‘‘1.0,1.3906,30.3
14,1578°293.5 ðŸ‘‘1.0,,,2893.000°293.5 ðŸ‘‘1.0,1.3929,30.3
15,1564°276.2 ðŸ‘‘1.0,,,3296.000°276.2 ðŸ‘‘1.0,1.2819,30.3
16,1662°295.0 ðŸ‘‘1.0,,,3184.000°295.0 ðŸ‘‘1.0,1.2794,30.3
17,1772°304.3 ðŸ‘‘1.0,,,2922.000°304.3 ðŸ‘‘1.0,1.3763,30.3
18,2248°361.1 ðŸ‘‘1.0,,,2977.000°361.1 ðŸ‘‘1.0,1.2968,30.3
19,1912°323.4 ðŸ‘‘1.0,,,2933.000°323.4 ðŸ‘‘1.0,1.2639,30.3
20,1774°296.5 ðŸ‘‘1.0,,,3475.000°296.5 ðŸ‘‘1.0,1.2756,30.3
21,1532°276.7 ðŸ‘‘1.0,,,3131.000°276.7 ðŸ‘‘1.0,1.3267,30.3
22,1414°261.1 ðŸ‘‘1.0,,,2929.000°261.1 ðŸ‘‘1.0,1.2772,30.3
23,1189°250.4 ðŸ‘‘1.0,,,3128.000°250.4 ðŸ‘‘1.0,1.2710,30.3
24,1135°231.3 ðŸ‘‘1.0,,,3017.000°231.3 ðŸ‘‘1.0,1.3081,30.3
25,874°186.4 ðŸ‘‘1.0,,,3096.000°186.4 ðŸ‘‘1.0,1.2333,30.3
26,909°184.4 ðŸ‘‘1.0,,,3061.000°184.4 ðŸ‘‘1.0,1.2935,30.3
27,920°181.3 ðŸ‘‘1.0,,,2782.000°181.3 ðŸ‘‘1.0,1.2709,30.3
28,1146°213.8 ðŸ‘‘1.0,,,3120.000°213.8 ðŸ‘‘1.0,1.2690,30.3
29,1077°201.7 ðŸ‘‘1.0,,,3107.000°201.7 ðŸ‘‘1.0,1.2692,30.3
30,1120°208.1 ðŸ‘‘1.0,,,3617.000°208.1 ðŸ‘‘1.0,1.4689,30.3
